Motion detected in 284 frames
Frame 1: 1 objects detected
  Object 1: x=203, y=302, width=36, height=39
Frame 2: 2 objects detected
  Object 1: x=264, y=309, width=38, height=34
  Object 2: x=201, y=287, width=57, height=58
Frame 3: 2 objects detected
  Object 1: x=264, y=298, width=40, height=43
  Object 2: x=201, y=284, width=59, height=64
Frame 4: 3 objects detected
  Object 1: x=263, y=297, width=44, height=44
  Object 2: x=201, y=283, width=61, height=66
  Object 3: x=90, y=224, width=26, height=55
Frame 5: 2 objects detected
  Object 1: x=201, y=282, width=112, height=69
  Object 2: x=89, y=222, width=27, height=71
Frame 6: 3 objects detected
  Object 1: x=0, y=308, width=16, height=56
  Object 2: x=200, y=282, width=113, height=68
  Object 3: x=71, y=221, width=45, height=74
Frame 7: 8 objects detected
  Object 1: x=0, y=307, width=16, height=58
  Object 2: x=199, y=282, width=117, height=66
  Object 3: x=398, y=268, width=26, height=42
  Object 4: x=456, y=253, width=26, height=43
  Object 5: x=322, y=229, width=18, height=64
  Object 6: x=71, y=220, width=47, height=76
  Object 7: x=440, y=108, width=23, height=51
  Object 8: x=452, y=25, width=32, height=34
Frame 8: 16 objects detected
  Object 1: x=17, y=340, width=43, height=23
  Object 2: x=465, y=325, width=35, height=37
  Object 3: x=0, y=306, width=16, height=60
  Object 4: x=83, y=290, width=29, height=66
  Object 5: x=417, y=282, width=31, height=50
  Object 6: x=198, y=282, width=121, height=73
  Object 7: x=385, y=267, width=39, height=84
  Object 8: x=454, y=252, width=28, height=44
  Object 9: x=322, y=227, width=32, height=67
  Object 10: x=70, y=219, width=53, height=78
  Object 11: x=250, y=147, width=29, height=53
  Object 12: x=439, y=104, width=24, height=56
  Object 13: x=0, y=101, width=31, height=40
  Object 14: x=102, y=76, width=27, height=53
  Object 15: x=49, y=46, width=49, height=26
  Object 16: x=451, y=25, width=49, height=69
Frame 9: 20 objects detected
  Object 1: x=465, y=324, width=35, height=39
  Object 2: x=17, y=308, width=66, height=56
  Object 3: x=0, y=306, width=17, height=61
  Object 4: x=82, y=289, width=30, height=68
  Object 5: x=417, y=282, width=31, height=50
  Object 6: x=198, y=282, width=124, height=74
  Object 7: x=38, y=275, width=28, height=25
  Object 8: x=384, y=254, width=40, height=97
  Object 9: x=321, y=226, width=44, height=70
  Object 10: x=453, y=225, width=47, height=72
  Object 11: x=70, y=218, width=55, height=81
  Object 12: x=217, y=183, width=24, height=44
  Object 13: x=21, y=157, width=37, height=26
  Object 14: x=248, y=146, width=31, height=54
  Object 15: x=438, y=103, width=25, height=57
  Object 16: x=0, y=100, width=32, height=41
  Object 17: x=101, y=75, width=28, height=55
  Object 18: x=48, y=46, width=60, height=44
  Object 19: x=450, y=24, width=50, height=72
  Object 20: x=148, y=0, width=27, height=52
Frame 10: 22 objects detected
  Object 1: x=464, y=323, width=36, height=40
  Object 2: x=16, y=308, width=75, height=56
  Object 3: x=0, y=306, width=17, height=61
  Object 4: x=311, y=300, width=39, height=45
  Object 5: x=197, y=282, width=127, height=75
  Object 6: x=416, y=281, width=32, height=52
  Object 7: x=38, y=275, width=27, height=26
  Object 8: x=376, y=250, width=51, height=102
  Object 9: x=321, y=226, width=48, height=88
